BOROUGH,Eviction Postcode,year
MANHATTAN,10033,2018
BROOKLYN,11233,2018
MANHATTAN,10013,2024
QUEENS,11374,2025
QUEENS,11691,2017
BROOKLYN,11214,2017
MANHATTAN,10039,2018
BRONX,10456,2023
BRONX,10468,2017
BROOKLYN,11203,2018
BROOKLYN,11238,2024
BROOKLYN,11221,2024
QUEENS,11418,2019
QUEENS,11361,2024
STATEN ISLAND,10304,2019
BRONX,10457,2025
BROOKLYN,11235,2018
BROOKLYN,11226,2025
BRONX,10451,2017
BRONX,10458,2017
BRONX,10457,2023
BROOKLYN,11215,2023
BROOKLYN,11226,2017
BROOKLYN,11223,2018
BRONX,10459,2018
QUEENS,11433,2025
BRONX,10457,2023
BROOKLYN,11208,2025
BRONX,10451,2025
BRONX,10457,2017
MANHATTAN,10003,2017
BROOKLYN,11235,2023
BROOKLYN,11226,2022
BROOKLYN,11221,2022
MANHATTAN,10025,2019
BROOKLYN,11203,2022
QUEENS,11105,2025
QUEENS,11106,2018
BROOKLYN,11226,2023
BRONX,10456,2024
BROOKLYN,11234,2018
BRONX,10463,2025
BROOKLYN,11226,2020
BROOKLYN,11216,2017
QUEENS,11368,2018
BRONX,10465,2017
QUEENS,11413,2019
BRONX,10456,2018
BRONX,10470,2025
BRONX,10452,2022
MANHATTAN,10030,2017
MANHATTAN,10031,2023
MANHATTAN,10065,2024
BROOKLYN,11203,2024
QUEENS,11373,2025
BRONX,10468,2019
QUEENS,11419,2022
QUEENS,11105,2024
BROOKLYN,11223,2018
BRONX,10467,2019
BROOKLYN,11218,2023
QUEENS,11354,2023
BROOKLYN,11216,2017
BROOKLYN,11212,2024
QUEENS,11354,2025
BROOKLYN,11217,2020
BROOKLYN,11208,2019
QUEENS,11368,2025
BRONX,10463,2023
BROOKLYN,11225,2017
STATEN ISLAND,10301,2023
BROOKLYN,11221,2024
BROOKLYN,11233,2025
BRONX,10468,2023
BRONX,10463,2017
BRONX,10458,2024
BRONX,10461,2019
BRONX,10456,2017
MANHATTAN,10014,2017
BRONX,10462,2017
BRONX,10455,2024
QUEENS,11369,2023
QUEENS,11373,2025
MANHATTAN,10030,2024
QUEENS,11691,2025
MANHATTAN,10014,2017
BRONX,10462,2025
BRONX,10467,2017
QUEENS,11101,2024
MANHATTAN,10009,2018
BRONX,10456,2018
BRONX,10457,2023
BRONX,10451,2019
BROOKLYN,11224,2024
BRONX,10461,2024
MANHATTAN,10032,2025
BROOKLYN,11203,2023
MANHATTAN,10035,2019
STATEN ISLAND,10307,2019
BRONX,10473,2025
BROOKLYN,11209,2025
BRONX,10468,2025
BRONX,10469,2017
QUEENS,11102,2019
BROOKLYN,11214,2023
QUEENS,11106,2022
BROOKLYN,11210,2022
MANHATTAN,10009,2018
QUEENS,11427,2024
QUEENS,11106,2019
MANHATTAN,10026,2025
BROOKLYN,11231,2019
MANHATTAN,10025,2019
BROOKLYN,11203,2022
BROOKLYN,11203,2017
BROOKLYN,11214,2019
BRONX,10456,2024
BROOKLYN,11201,2019
QUEENS,11365,2017
QUEENS,11377,2025
QUEENS,11356,2018
MANHATTAN,10001,2017
QUEENS,11420,2019
BRONX,10466,2025
BROOKLYN,11222,2025
BROOKLYN,11212,2019
MANHATTAN,10010,2025
BROOKLYN,11221,2020
QUEENS,11372,2024
BRONX,10456,2025
BRONX,10463,2025
BRONX,10467,2025
QUEENS,11362,2024
BROOKLYN,11213,2017
BRONX,10458,2018
QUEENS,11691,2017
MANHATTAN,10032,2023
MANHATTAN,10019,2017
